Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1982-03-17,84.8,84.98,84.75,84.78,,84.78,364.0,1801.0
1982-03-18,84.78,84.93,84.62,84.63,,84.63,396.0,1833.0
1982-03-19,84.59,84.59,84.37,84.38,,84.38,264.0,1872.0
1982-03-22,84.55,84.79,84.55,84.79,,84.79,484.0,1940.0
1982-03-23,84.85,85.09,84.85,84.98,,84.98,448.0,1983.0
1982-03-24,85.06,85.18,84.75,84.75,,84.75,671.0,2069.0
1982-03-25,84.62,84.74,84.6,84.65,,84.65,497.0,2117.0
1982-03-26,84.54,84.61,84.38,84.47,,84.47,455.0,2143.0
1982-03-29,84.45,84.45,84.17,84.2,,84.2,289.0,2190.0
1982-03-30,84.24,84.41,84.14,84.16,,84.16,342.0,2245.0
1982-03-31,84.12,84.46,84.05,84.46,,84.46,466.0,2224.0
1982-04-01,84.46,84.59,84.45,84.54,,84.54,452.0,2178.0
1982-04-02,84.51,84.51,84.29,84.36,,84.36,411.0,2221.0
1982-04-05,84.52,84.58,84.36,84.39,,84.39,550.0,2305.0
1982-04-06,84.48,84.51,84.29,84.35,,84.35,363.0,2362.0
1982-04-07,84.43,84.44,84.18,84.24,,84.24,307.0,2391.0
1982-04-08,84.18,84.41,84.11,84.39,,84.39,287.0,2323.0
1982-04-12,84.58,84.92,84.51,84.89,,84.89,329.0,2343.0
1982-04-13,84.87,84.89,84.72,84.75,,84.75,523.0,2335.0
1982-04-14,84.61,84.7,84.57,84.68,,84.68,491.0,2372.0
1982-04-15,84.58,84.7,84.54,84.68,,84.68,222.0,2400.0
1982-04-16,84.69,85.03,84.65,84.97,,84.97,563.0,2417.0
1982-04-19,85.0,85.23,84.9,85.15,,85.15,494.0,2439.0
1982-04-20,85.23,85.3,85.07,85.16,,85.16,585.0,2444.0
1982-04-21,85.4,85.52,85.17,85.24,,85.24,775.0,2424.0
1982-04-22,85.12,85.28,85.06,85.22,,85.22,494.0,2418.0
1982-04-23,85.35,85.53,85.27,85.41,,85.41,449.0,2482.0
1982-04-26,85.6,85.6,85.29,85.41,,85.41,536.0,2545.0
1982-04-27,85.41,85.46,85.26,85.3,,85.3,322.0,2526.0
1982-04-28,85.3,85.33,85.17,85.17,,85.17,190.0,2571.0
1982-04-29,85.05,85.25,84.99,85.25,,85.25,538.0,2544.0
1982-04-30,85.38,85.43,85.27,85.42,,85.42,345.0,2529.0
1982-05-03,85.34,85.38,85.08,85.08,,85.08,194.0,2548.0
1982-05-04,85.02,85.16,84.87,85.14,,85.14,438.0,2607.0
1982-05-05,85.23,85.36,85.22,85.31,,85.31,401.0,2613.0
1982-05-06,85.57,85.77,85.51,85.75,,85.75,697.0,2698.0
1982-05-07,85.9,85.96,85.82,85.95,,85.95,532.0,2681.0
1982-05-10,86.0,86.0,85.86,85.95,,85.95,364.0,2615.0
1982-05-11,85.86,85.97,85.8,85.95,,85.95,594.0,2575.0
1982-05-12,86.02,86.04,85.77,85.79,,85.79,685.0,2450.0
1982-05-13,85.7,85.77,85.62,85.64,,85.64,457.0,2474.0
1982-05-14,85.7,85.85,85.69,85.82,,85.82,449.0,2418.0
1982-05-17,85.95,85.95,85.66,85.66,,85.66,584.0,2313.0
1982-05-18,85.6,85.69,85.49,85.69,,85.69,632.0,2273.0
1982-05-19,85.62,85.72,85.6,85.63,,85.63,819.0,2442.0
1982-05-20,85.71,86.24,85.7,86.21,,86.21,793.0,2528.0
1982-05-21,86.22,86.33,86.05,86.07,,86.07,698.0,2466.0
1982-05-24,86.0,86.06,85.94,86.02,,86.02,313.0,2471.0
1982-05-25,85.97,85.97,85.8,85.82,,85.82,762.0,2565.0
1982-05-26,85.9,85.96,85.83,85.89,,85.89,900.0,2799.0
1982-05-27,85.87,85.87,85.74,85.83,,85.83,399.0,2703.0
1982-05-28,85.77,85.91,85.75,85.83,,85.83,291.0,2701.0
1982-06-01,85.7,85.7,85.35,85.36,,85.36,610.0,2580.0
1982-06-02,85.36,85.48,85.29,85.48,,85.48,609.0,2428.0
1982-06-03,85.45,85.59,85.32,85.41,,85.41,512.0,2232.0
1982-06-04,85.4,85.4,85.19,85.21,,85.21,449.0,2054.0
1982-06-07,85.17,85.38,85.13,85.36,,85.36,437.0,1902.0
1982-06-08,85.29,85.29,85.11,85.13,,85.13,391.0,1756.0
1982-06-09,85.06,85.23,85.06,85.23,,85.23,282.0,1652.0
1982-06-10,85.18,85.26,85.12,85.14,,85.14,297.0,1504.0
1982-06-11,85.26,85.27,85.15,85.19,,85.19,421.0,1242.0
1982-06-14,84.93,84.93,84.67,84.67,,84.67,123.0,1108.0
1982-06-15,84.49,84.6,84.44,84.56,,84.56,740.0,4991.0
1982-06-16,84.58,84.63,84.51,84.51,,84.51,412.0,5098.0
1982-06-17,84.24,84.25,84.07,84.14,,84.14,835.0,5198.0
1982-06-18,84.04,84.15,83.97,83.99,,83.99,469.0,5198.0
1982-06-21,84.0,84.15,83.95,84.03,,84.03,634.0,5308.0
1982-06-22,84.06,84.15,83.87,83.88,,83.88,711.0,5379.0
1982-06-23,83.85,83.95,83.72,83.94,,83.94,640.0,5410.0
1982-06-24,83.97,83.98,83.62,83.68,,83.68,491.0,5386.0
1982-06-25,83.56,83.66,83.49,83.5,,83.5,394.0,5376.0
1982-06-28,83.54,83.71,83.49,83.68,,83.68,713.0,5397.0
1982-06-29,83.83,84.1,83.8,84.09,,84.09,668.0,5290.0
1982-06-30,84.3,84.45,84.18,84.22,,84.22,779.0,5458.0
1982-07-01,84.28,84.43,84.17,84.39,,84.39,513.0,5417.0
